Name,Band,rotation,pitch,Chiralty,arms
NGC4689,g,19.90384615384619,35.56490384615385,CW,2
NGC4480,g,77.01923076923077,14.783586538461542,CCW,3
NGC4480,r,70.96153846153845,16.06902884615385,CCW,2
NGC4480,i,-23.365384615384585,19.711115384615383,CCW,2
